,close,high,label,low,open,y
0,17.1,17.2,1.0,16.88,16.94,17.22
1,17.23,17.23,0.0,17.0,17.22,17.17
2,17.17,17.3,0.0,17.07,17.17,16.81
3,16.7,16.9,0.0,16.57,16.81,16.68
4,16.7,16.76,1.0,16.62,16.68,16.77
5,16.74,16.83,0.0,16.48,16.77,16.65
6,16.68,16.86,1.0,16.6,16.65,16.88
7,16.9,16.98,0.0,16.65,16.88,16.81
8,17.12,17.23,1.0,16.8,16.81,17.25
9,16.82,17.25,0.0,16.75,17.25,16.78
10,16.75,16.96,0.0,16.64,16.78,16.65
11,16.38,16.68,0.0,16.25,16.65,16.39
12,16.2,16.58,0.0,16.1,16.39,16.08
13,15.88,16.21,0.0,15.81,16.08,16.07
14,15.86,16.11,0.0,15.74,16.07,15.82
15,15.99,16.17,1.0,15.7,15.82,16.46
16,15.98,16.49,0.0,15.77,16.46,15.93
17,15.44,15.96,0.0,15.44,15.93,15.51
18,15.01,15.67,0.0,14.9,15.51,15.14
19,15.05,15.3,0.0,14.87,15.14,15.1
20,15.17,15.32,1.0,15.03,15.1,15.12
21,15.46,15.6,1.0,15.12,15.12,15.34
22,15.01,15.52,0.0,14.99,15.34,15.01
23,15.19,15.25,1.0,14.92,15.01,15.18
24,14.99,15.47,1.0,14.95,15.18,15.2
25,15.07,15.24,0.0,14.94,15.2,15.02
26,14.8,15.02,0.0,14.48,15.02,14.87
27,15.22,15.25,1.0,14.77,14.87,15.07
28,15.17,15.19,1.0,14.85,15.07,15.23
29,15.41,15.48,1.0,15.18,15.23,15.5
30,15.44,15.52,0.0,15.32,15.5,15.4
31,15.54,15.6,1.0,15.32,15.4,15.49
32,15.58,15.71,1.0,15.33,15.49,15.61
33,15.49,15.68,0.0,15.44,15.61,15.45
34,15.38,15.51,1.0,15.14,15.45,15.48
35,15.59,15.71,0.0,15.33,15.48,15.32
36,15.24,15.35,0.0,15.13,15.32,15.27
37,15.31,15.41,1.0,15.16,15.27,15.43
38,15.79,15.83,1.0,15.4,15.43,15.87
39,15.73,15.96,0.0,15.67,15.87,15.85
40,15.57,15.85,0.0,15.55,15.85,15.55
41,15.81,15.85,1.0,15.52,15.55,15.89
42,16.06,16.38,1.0,15.89,15.89,16.32
43,16.52,16.61,1.0,16.3,16.32,16.41
44,16.53,16.72,1.0,16.4,16.41,16.51
45,16.79,16.94,1.0,16.51,16.51,16.57
46,16.53,16.65,0.0,16.1,16.57,16.51
47,16.32,16.59,0.0,16.26,16.51,16.35
48,16.46,16.64,1.0,16.28,16.35,16.47
49,16.36,16.59,0.0,16.23,16.47,16.28
50,16.5,16.63,1.0,16.28,16.28,16.46
51,16.56,16.57,1.0,16.32,16.46,16.62
52,16.44,16.81,0.0,16.34,16.62,16.37
53,16.34,16.54,0.0,16.32,16.37,16.34
54,16.03,16.34,0.0,15.97,16.34,16.1
55,16.09,16.2,1.0,15.92,16.1,16.17
56,16.32,16.59,1.0,16.14,16.17,16.34
57,16.54,16.57,1.0,16.31,16.34,16.48
58,16.56,16.68,1.0,16.47,16.48,16.55
59,16.61,16.69,0.0,16.39,16.55,16.45
60,16.53,16.58,1.0,16.42,16.45,16.58
61,16.29,16.6,0.0,16.22,16.58,16.39
62,16.51,16.56,1.0,16.3,16.39,16.55
63,16.92,16.98,1.0,16.42,16.55,16.78
64,16.87,16.92,1.0,16.76,16.78,16.91
65,17.35,17.41,1.0,16.9,16.91,17.42
66,17.52,18.07,1.0,17.25,17.42,17.52
67,17.64,17.88,0.0,17.41,17.52,17.51
68,18.18,18.3,1.0,17.4,17.51,18.15
69,18.38,18.47,1.0,18.06,18.15,18.3
70,18.97,19.12,1.0,18.13,18.3,18.67
71,18.17,18.68,0.0,17.96,18.67,18.01
72,18.39,18.4,1.0,17.99,18.01,18.5
73,18.38,18.53,0.0,18.23,18.5,17.58
74,17.45,17.78,0.0,17.3,17.58,17.37
75,17.72,17.78,1.0,17.15,17.37,17.71
76,17.64,17.83,0.0,17.5,17.71,17.69
77,17.39,17.72,0.0,17.34,17.69,17.28
78,16.92,17.36,0.0,16.88,17.28,16.98
79,16.75,17.0,0.0,16.63,16.98,16.82
80,16.97,17.05,1.0,16.78,16.82,17.11
81,16.53,17.13,0.0,16.53,17.11,16.68
82,16.95,16.99,0.0,16.56,16.68,16.63
83,16.32,16.9,0.0,16.25,16.63,16.17
84,16.49,16.7,1.0,16.11,16.17,16.34
85,15.92,16.51,0.0,15.43,16.34,15.77
86,15.29,15.95,1.0,15.25,15.77,16.04
87,16.33,16.83,0.0,16.0,16.04,15.95
88,16.41,16.64,1.0,15.91,15.95,16.45
89,16.47,16.5,1.0,16.33,16.45,16.49
90,16.14,16.5,1.0,16.08,16.49,16.51
91,16.39,16.66,0.0,16.14,16.51,16.41
92,16.27,16.47,0.0,15.96,16.41,16.27
93,16.03,16.44,0.0,15.95,16.27,15.83
94,15.79,16.0,0.0,15.51,15.83,15.45
95,15.1,15.49,0.0,15.06,15.45,14.81
96,15.48,15.9,1.0,14.63,14.81,15.42
97,15.54,15.79,0.0,15.36,15.42,15.04
98,15.31,15.31,1.0,14.89,15.04,15.6
99,15.45,15.83,1.0,15.43,15.6,15.83
100,15.69,15.84,0.0,15.36,15.83,15.61
101,15.34,15.69,0.0,15.0,15.61,15.31
